Subject,0.0_left,13.0_left,8.0_left,1.0_left,14.0_left,10.0_left,3.0_left,7.0_left,4.0_left,11.0_left,12.0_left,2.0_left,0.0_right,12.0_right,7.0_right,13.0_right,14.0_right,11.0_right,1.0_right,3.0_right,2.0_right,8.0_right,4.0_right,10.0_right
sub-010,22.0,8.0,17.0,20.0,19.0,11.0,16.0,7.0,5.0,11.0,11.0,6.0,22.0,10.0,9.0,9.0,17.0,10.0,19.0,15.0,7.0,18.0,5.0,9.0
sub-011,22.0,8.0,17.0,20.0,19.0,11.0,16.0,7.0,5.0,11.0,11.0,6.0,22.0,11.0,7.0,8.0,19.0,11.0,20.0,16.0,6.0,17.0,5.0,11.0
